# Behavior Recording - Load Cell Log
# Channel: Load Cell 1
# Serial port: /dev/cu.usbserial-210
# Baud rate: 115200
# Samples: 828
# Duration (s): 10.182
# Average sample rate (Hz): 81.32
Time (s),Value
4.7638,318932
4.7687,319058
4.7791,318742
4.7913,318834
4.8050,318867
4.8159,318496
4.8285,318820
4.8419,318902
4.8530,318835
4.8654,318738
4.8928,318619
4.8933,318698
4.9022,318717
4.9144,318991
4.9304,318964
4.9391,319031
4.9515,318471
4.9657,318507
4.9761,318709
4.9883,318734
5.0022,318672
5.0129,318730
5.0251,318666
5.0405,318838
5.0499,318948
5.0624,318827
5.0915,318787
5.0923,318775
5.0992,318680
5.1115,318707
5.1239,318677
5.1360,318517
5.1485,318729
5.1659,318844
5.1735,319012
5.1853,319215
5.2053,318801
5.2131,318622
5.2221,319113
5.2414,319373
5.2489,328495
5.2592,345974
5.2715,337599
5.2925,328528
5.2986,337559
5.3084,325246
5.3218,317395
5.3332,317678
5.3453,320968
5.3643,318477
5.3725,314947
5.3823,321699
5.4038,319620
5.4096,317295
5.4192,318729
5.4414,318893
5.4479,319085
5.4561,318077
5.4686,317960
5.4925,318848
5.4996,319860
5.5054,319639
5.5241,318404
5.5318,318737
5.5423,318705
5.5644,318422
5.5701,318892
5.5791,318991
5.5916,318451
5.6044,319020
5.6163,319291
5.6286,318787
5.6419,318389
5.6533,318879
5.6655,319109
5.6915,318684
5.6919,318277
5.7024,319163
5.7235,319721
5.7290,319067
5.7393,318498
5.7515,318899
5.7642,318995
5.7761,318312
5.7885,318657
5.8028,319099
5.8132,318512
5.8254,318713
5.8406,319150
5.8501,318494
5.8624,318275
5.8927,319028
5.8932,319181
5.8993,318743
5.9118,318360
5.9246,318876
5.9366,318934
5.9487,318775
5.9653,318699
5.9732,319010
5.9855,319198
6.0041,318953
6.0115,318569
6.0223,318771
6.0408,318856
6.0481,318686
6.0593,318814
6.0717,318724
6.0931,318671
6.0990,319197
6.1086,318995
6.1208,318782
6.1333,318983
6.1455,319023
6.1657,319222
6.1715,318672
6.1823,318201
6.2039,318713
6.2092,318866
6.2194,318708
6.2317,319062
6.2559,318878
6.2586,318776
6.2686,318494
6.2839,318630
6.2933,318710
6.3056,318713
6.3249,318945
6.3311,318717
6.3425,318874
6.3546,318935
6.3701,319473
6.3792,319156
6.3916,318621
6.4049,318659
6.4161,318763
6.4287,318661
6.4428,318746
6.4533,318899
6.4655,319563
6.4910,328792
6.4945,339385
6.5024,331567
6.5146,331332
6.5295,337310
6.5393,329593
6.5516,325251
6.5657,323438
6.5764,322509
6.5884,317184
6.6029,316807
6.6132,321970
6.6255,318423
6.6403,317386
6.6501,318715
6.6624,319156
